,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
44,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB
43,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB
42,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB
41,GSB,TG 102,TG 102,TG 102,709,708,707,706,705,704,703,702,701,700,699,698,697,696,695,GSB
40,GSB,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,GSB
39,GSB,676,675,674,673,672,671,670,669,668,667,666,665,664,663,662,661,660,659,GSB
38,GSB,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,GSB
37,GSB,640,639,638,637,636,635,634,633,632,631,630,629,628,627,626,625,624,623,GSB
36,GSB,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,GSB
35,GSB,TG 102,TG 102,TG 102,TG 102,TG 102,TG 102,TG 102,TG 102,TG 102,TG 102,TG 102,TG 102,TG 102,TG 102,TG 102,TG 102,TG 102,TG 102,GSB
34,GSB,TG 102,TG 102,3073,3072,3071,3070,3069,3068,3067,3066,3065,3064,3063,3062,3061,3060,3059,3058,GSB
33,GSB,3040,3041,3042,3043,3044,3045,3046,3047,3048,3049,3050,3051,3052,3053,3054,3055,3056,3057,GSB
32,GSB,3039,3038,3037,3036,3035,3034,3033,3032,3031,3030,3029,3028,3027,3026,3025,3024,3023,3022,GSB
31,GSB,3004,3005,3006,3007,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3018,3019,3020,3021,GSB
30,GSB,3003,3002,3001,3000,2999,2998,2997,2996,2995,2994,2993,2992,2991,2990,2989,2988,2987,2986,GSB
29,GSB,2968,2969,2970,2971,2972,2973,2974,2975,2976,2977,2978,2979,2980,2981,2982,2983,2984,2985,GSB
28,GSB,2967,2966,2965,2964,2963,2962,2961,2960,2959,2958,2957,2956,2955,2954,2953,2952,2951,2950,GSB
27,GSB,2932,2933,2934,2935,2936,2937,2938,2939,2940,2941,2942,2943,2944,2945,2946,2947,2948,2949,GSB
26,GSB,2931,2930,2929,2928,2927,2926,2925,2924,2923,2922,2921,2920,2919,2918,2917,2916,2915,2914,GSB
25,GSB,2896,2897,2898,2899,2900,2901,2902,2903,2904,2905,2906,2907,2908,2909,2910,2911,2912,2913,GSB
24,GSB,2895,2894,2893,2892,2891,2890,2889,2888,2887,2886,2885,2884,2883,2882,2881,2880,2879,2878,GSB
23,GSB,2860,2861,2862,2863,2864,2865,2866,2867,2868,2869,2870,2871,2872,2873,2874,2875,2876,2877,GSB
22,GSB,2859,2858,2857,2856,2855,2854,2853,2852,2851,2850,2849,2848,2847,2846,2845,2844,2843,2842,GSB
21,GSB,2824,2825,2826,2827,2828,2829,2830,2831,2832,2833,2834,2835,2836,2837,2838,2839,2840,2841,GSB
20,GSB,2823,2822,2821,2820,2819,2818,2817,2816,2815,2814,2813,2812,2811,2810,2809,2808,2807,2806,GSB
19,GSB,2788,2789,2790,2791,2792,2793,2794,2795,2796,2797,2798,2799,2800,2801,2802,2803,2804,2805,GSB
18,GSB,2787,2786,2785,2784,2783,2782,2781,2780,2779,2778,2777,2776,2775,2774,2773,2772,2771,2770,GSB
17,GSB,2752,2753,2754,2755,2756,2757,2758,2759,2760,2761,2762,2763,2764,2765,2766,2767,2768,2769,GSB
16,GSB,2751,2750,2749,2748,2747,2746,2745,2744,2743,2742,2741,2740,2739,2738,2737,2736,2735,2734,GSB
15,GSB,2716,2717,2718,2719,2720,2721,2722,2723,2724,2725,2726,2727,2728,2729,2730,2731,2732,2733,GSB
14,GSB,2715,2714,2713,2712,2711,2710,2709,2708,2707,2706,2705,2704,2703,2702,2701,2700,2699,2698,GSB
13,GSB,2680,2681,2682,2683,2684,2685,2686,2687,2688,2689,2690,2691,2692,2693,2694,2695,2696,2697,GSB
12,GSB,2679,2678,2677,2676,2675,2674,2673,2672,2671,2670,2669,2668,2667,2666,2665,2664,2663,2662,GSB
11,GSB,2644,2645,2646,2647,2648,2649,2650,2651,2652,2653,2654,2655,2656,2657,2658,2659,2660,2661,GSB
10,GSB,2643,2642,2641,2640,2639,2638,2637,2636,2635,2634,2633,2632,2631,2630,2629,2628,2627,2626,GSB
9,GSB,2608,2609,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2620,2621,2622,2623,2624,2625,GSB
8,GSB,2607,2606,2605,2604,2603,2602,2601,2600,2599,2598,2597,2596,2595,2594,2593,2592,2591,2590,GSB
7,GSB,2572,2573,2574,2575,2576,2577,2578,2579,2580,2581,2582,2583,2584,2585,2586,2587,2588,2589,GSB
6,GSB,2571,2570,2569,2568,2567,2566,2565,2564,2563,2562,2561,2560,2559,2558,2557,2556,2555,2554,GSB
5,GSB,2536,2537,2538,2539,2540,2541,2542,2543,2544,2545,2546,2547,2548,2549,2550,2551,2552,2553,GSB
4,GSB,2535,2534,2533,2532,2531,2530,2529,2528,2527,2526,2525,2524,2523,2522,2521,2520,2519,2518,GSB
3,GSB,2500,2501,2502,2503,2504,2505,2506,2507,2508,2509,2510,2511,2512,2513,2514,2515,2516,2517,GSB
2,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB
1,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB,GSB
